 Elem	Todas permanentes e acidentais dos pavimentos	-	Empuxo	-	-	-	-	Vento (1) 78°	-	-	-	-	Vento (2) 258°	-	-	-	-	Vento (3) 348°	-	-	-	-	Vento (4) 168°	-	-	-	-	Vento (5) 33°	-	-	-	-	Vento (6) 123°	-	-	-	-	Vento (7) 213°	-	-	-	-	-	Vento (8) 303°	-	-	-	-	-	
 	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Mz	Fz	Fx	Fy	Mx	My	Mz
 P512	   -1,16	   -0,11	    0,14	   -0,02	    0,58	   -1,39	   -0,06	   -0,25	    0,06	    0,27	   -0,63	    0,14	    0,25	   -0,06	   -0,27	    0,63	   -0,14	   -2,55	    0,07	   -0,04	    0,09	    0,28	    2,55	   -0,07	    0,04	   -0,09	   -0,28	   -1,82	    0,16	    0,59	   -1,41	    0,45	    0,70	    0,09	    0,61	   -1,44	    0,17	    1,82	   -0,16	   -0,59	    1,41	   -0,45	   -0,00	   -0,70	   -0,09	   -0,61	    1,44	   -0,17	    0,00
 P515	    0,28	   -0,41	    0,95	   -0,01	    0,74	   -1,69	   -0,07	    0,22	    0,06	    0,28	   -0,66	    0,14	   -0,23	   -0,06	   -0,28	    0,66	   -0,14	   -2,85	    0,07	   -0,03	    0,09	    0,27	    2,85	   -0,07	    0,03	   -0,09	   -0,27	   -0,82	    0,17	    0,64	   -1,48	    0,46	    1,86	    0,10	    0,64	   -1,50	    0,19	    0,82	   -0,17	   -0,64	    1,48	   -0,46	   -0,00	   -1,86	   -0,10	   -0,64	    1,50	   -0,19	   -0,00
 P516	    0,16	   -0,14	   -0,05	   -7,20	    1,56	   -3,26	  -15,32	   -0,03	    0,04	    0,02	   -0,07	    0,11	    0,03	   -0,03	   -0,02	    0,08	   -0,11	   -1,84	    1,20	   -0,26	    1,08	    4,99	    1,84	   -1,20	    0,26	   -1,08	   -4,99	   -0,95	    0,65	   -0,07	    0,35	    2,62	    0,83	   -0,51	    0,18	   -0,71	   -2,20	    0,95	   -0,65	    0,07	   -0,35	   -2,62	   -0,00	   -0,83	    0,51	   -0,18	    0,71	    2,20	    0,00
 P518	   -0,25	   -0,32	    0,74	   -0,03	    0,82	   -1,85	   -0,12	   -0,18	    0,06	    0,29	   -0,68	    0,15	    0,18	   -0,06	   -0,29	    0,68	   -0,15	   -3,11	    0,08	   -0,01	    0,08	    0,28	    3,11	   -0,08	    0,01	   -0,07	   -0,28	   -1,89	    0,18	    0,67	   -1,52	    0,47	    1,06	    0,10	    0,66	   -1,53	    0,19	    1,89	   -0,18	   -0,67	    1,52	   -0,47	   -0,00	   -1,06	   -0,10	   -0,66	    1,53	   -0,19	   -0,00
 P519	   -0,14	   -0,48	    1,18	   -4,22	    0,95	   -2,09	   -9,55	   -0,01	    0,06	    0,02	   -0,08	    0,12	    0,01	   -0,06	   -0,02	    0,08	   -0,12	   -1,82	    1,24	   -0,26	    1,09	    5,06	    1,81	   -1,24	    0,26	   -1,09	   -5,06	   -0,87	    0,71	   -0,07	    0,34	    2,66	    0,85	   -0,47	    0,18	   -0,71	   -2,16	    0,88	   -0,71	    0,07	   -0,34	   -2,66	   -0,00	   -0,85	    0,47	   -0,18	    0,71	    2,16	   -0,00
 P521	   -0,01	    0,14	    1,74	   -7,88	    1,71	   -3,68	  -17,23	    0,00	    0,03	    0,03	   -0,09	    0,06	   -0,00	   -0,03	   -0,03	    0,09	   -0,06	   -1,57	    1,20	   -0,25	    1,07	    5,00	    1,57	   -1,20	    0,25	   -1,07	   -5,00	   -0,73	    0,62	   -0,05	    0,30	    2,47	    0,74	   -0,50	    0,19	   -0,72	   -2,22	    0,73	   -0,62	    0,05	   -0,30	   -2,47	   -0,00	   -0,74	    0,50	   -0,19	    0,72	    2,22	   -0,00
 P522	    1,88	   -0,92	    0,09	   -0,10	    0,76	   -1,83	   -0,26	   -0,41	    0,06	    0,25	   -0,63	    0,14	    0,41	   -0,06	   -0,25	    0,63	   -0,14	   -1,53	    0,09	   -0,02	    0,10	    0,29	    1,53	   -0,09	    0,02	   -0,10	   -0,29	   -1,66	    0,17	    0,57	   -1,40	    0,45	   -0,18	    0,08	    0,57	   -1,44	    0,17	    1,66	   -0,17	   -0,57	    1,40	   -0,45	   -0,00	    0,18	   -0,08	   -0,57	    1,44	   -0,17	   -0,00
 P524	    0,02	   -1,13	    0,21	   -1,50	    0,16	   -0,42	   -4,14	    0,11	    0,02	    0,03	   -0,08	    0,08	   -0,11	   -0,02	   -0,03	    0,08	   -0,08	   -0,82	    0,38	   -0,02	    0,07	    1,78	    0,82	   -0,38	    0,02	   -0,07	   -1,78	   -0,12	    0,23	    0,05	   -0,15	    1,00	    0,62	   -0,12	    0,07	   -0,21	   -0,63	    0,12	   -0,23	   -0,05	    0,15	   -1,00	   -0,00	   -0,62	    0,12	   -0,07	    0,21	    0,63	   -0,00
 P525	   -0,06	    0,02	    3,63	   -0,26	    1,72	   -3,84	   -0,65	    1,13	    0,01	    0,28	   -0,67	    0,02	   -1,13	   -0,01	   -0,28	    0,67	   -0,02	   -2,93	    0,09	   -0,23	    0,63	    0,30	    2,93	   -0,09	    0,23	   -0,63	   -0,30	    1,33	    0,07	    0,54	   -1,26	    0,19	    3,79	   -0,01	    0,73	   -1,75	   -0,09	   -1,33	   -0,07	   -0,54	    1,26	   -0,19	   -0,00	   -3,79	    0,01	   -0,73	    1,75	    0,09	   -0,00
 P526	    0,04	   -0,06	    2,06	   -5,94	    1,28	   -2,89	  -13,67	    0,01	    0,01	    0,03	   -0,10	    0,01	   -0,01	   -0,01	   -0,03	    0,10	   -0,01	   -1,58	    1,28	   -0,27	    1,09	    5,13	    1,58	   -1,28	    0,27	   -1,09	   -5,13	   -0,70	    0,61	   -0,05	    0,28	    2,39	    0,75	   -0,57	    0,20	   -0,75	   -2,35	    0,70	   -0,61	    0,05	   -0,28	   -2,39	   -0,00	   -0,75	    0,57	   -0,20	    0,75	    2,35	   -0,00
 P527	   -0,06	    0,01	   -1,63	   -0,23	    1,94	   -4,10	   -0,66	   -0,59	    0,02	    0,33	   -0,72	    0,03	    0,59	   -0,02	   -0,33	    0,72	   -0,03	    0,64	    0,06	   -0,28	    0,68	    0,27	   -0,64	   -0,06	    0,28	   -0,68	   -0,27	   -1,11	    0,06	    0,63	   -1,35	    0,18	   -1,59	    0,01	    0,84	   -1,88	   -0,07	    1,11	   -0,06	   -0,63	    1,35	   -0,18	   -0,00	    1,59	   -0,01	   -0,84	    1,88	    0,07	   -0,00
 P528	   -0,00	   -0,97	   -0,14	   -1,76	    0,16	   -0,42	   -4,82	    0,01	    0,02	    0,03	   -0,08	    0,08	   -0,01	   -0,02	   -0,03	    0,08	   -0,08	   -0,06	    0,42	   -0,02	    0,07	    1,84	    0,06	   -0,42	    0,02	   -0,07	   -1,84	    0,00	    0,24	    0,05	   -0,15	    1,02	    0,06	   -0,14	    0,07	   -0,21	   -0,66	   -0,00	   -0,24	   -0,05	    0,15	   -1,02	   -0,00	   -0,06	    0,14	   -0,07	    0,21	    0,66	   -0,00
 P529	   -0,07	   -0,32	    2,24	   -6,28	    1,25	   -2,93	  -14,80	    0,02	   -0,00	    0,04	   -0,11	   -0,03	   -0,02	    0,00	   -0,04	    0,11	    0,03	   -1,61	    1,35	   -0,28	    1,12	    5,25	    1,61	   -1,35	    0,28	   -1,12	   -5,25	   -0,70	    0,61	   -0,04	    0,26	    2,33	    0,77	   -0,62	    0,21	   -0,77	   -2,45	    0,70	   -0,61	    0,04	   -0,26	   -2,33	   -0,00	   -0,77	    0,62	   -0,21	    0,77	    2,45	   -0,00
 P530	    0,08	   -0,76	   -1,84	   -2,70	    0,16	   -0,43	   -6,31	    0,22	    0,03	    0,03	   -0,08	    0,08	   -0,22	   -0,03	   -0,03	    0,08	   -0,08	    1,46	    0,75	   -0,02	    0,07	    2,25	   -1,46	   -0,75	    0,02	   -0,07	   -2,25	    1,05	    0,42	    0,05	   -0,15	    1,21	   -0,26	   -0,26	    0,06	   -0,21	   -0,82	   -1,05	   -0,42	   -0,05	    0,15	   -1,21	   -0,00	    0,26	    0,26	   -0,06	    0,21	    0,82	   -0,00
 P531	    0,35	   -0,20	    2,74	   -0,52	    1,91	   -4,26	   -1,07	   -0,04	    0,02	    0,28	   -0,66	    0,03	    0,04	   -0,02	   -0,28	    0,66	   -0,03	   -4,02	    0,18	   -0,26	    0,69	    0,41	    4,02	   -0,18	    0,26	   -0,69	   -0,41	   -2,03	    0,12	    0,52	   -1,21	    0,24	    1,65	   -0,05	    0,72	   -1,75	   -0,13	    2,03	   -0,12	   -0,52	    1,21	   -0,24	   -0,00	   -1,64	    0,05	   -0,72	    1,75	    0,13	   -0,00
 P532	    0,00	    0,43	    1,25	  -10,87	    2,25	   -5,14	  -24,92	    0,05	   -0,02	    0,04	   -0,12	   -0,07	   -0,05	    0,02	   -0,04	    0,12	    0,07	   -0,24	    1,37	   -0,28	    1,14	    5,34	    0,24	   -1,37	    0,28	   -1,14	   -5,34	   -0,01	    0,58	   -0,04	    0,25	    2,25	    0,23	   -0,65	    0,22	   -0,79	   -2,54	    0,01	   -0,58	    0,04	   -0,25	   -2,25	   -0,00	   -0,23	    0,65	   -0,22	    0,79	    2,54	   -0,00
 P533	   -1,35	   -3,25	   -0,57	   -9,91	    0,72	   -1,57	  -23,57	    0,38	    0,12	    0,08	   -0,23	    0,29	   -0,38	   -0,12	   -0,08	    0,23	   -0,29	    0,25	    2,27	   -0,15	    0,33	    7,42	   -0,25	   -2,27	    0,15	   -0,33	   -7,42	    0,84	    1,29	    0,12	   -0,39	    3,98	    0,67	   -0,72	    0,25	   -0,66	   -2,61	   -0,84	   -1,29	   -0,12	    0,39	   -3,98	   -0,00	   -0,67	    0,72	   -0,25	    0,66	    2,61	   -0,00
 P534	    0,30	    0,22	    2,43	  -11,25	    2,31	   -5,37	  -26,31	    0,10	   -0,03	    0,04	   -0,13	   -0,11	   -0,10	    0,03	   -0,04	    0,13	    0,11	   -2,79	    1,55	   -0,32	    1,20	    5,65	    2,79	   -1,55	    0,32	   -1,20	   -5,64	   -1,01	    0,62	   -0,05	    0,25	    2,26	    1,47	   -0,75	    0,24	   -0,82	   -2,73	    1,01	   -0,62	    0,05	   -0,25	   -2,26	   -0,00	   -1,47	    0,75	   -0,24	    0,82	    2,73	   -0,00
 P901	   -0,04	    0,02	    0,30	   -1,39	   -3,08	    1,53	   -1,71	    0,07	    0,02	    0,04	   -0,15	    0,06	   -0,07	   -0,02	   -0,04	    0,15	   -0,06	   -0,28	    0,64	   -0,13	    0,25	    1,19	    0,28	   -0,64	    0,13	   -0,25	   -1,19	    0,04	    0,37	    0,03	   -0,22	    0,72	    0,31	   -0,27	    0,16	   -0,47	   -0,47	   -0,04	   -0,37	   -0,03	    0,22	   -0,72	   -0,00	   -0,31	    0,27	   -0,16	    0,47	    0,47	   -0,00
 P902	   -0,07	   -0,08	    0,16	   -1,81	   -5,40	    2,82	   -1,90	    0,84	    0,02	    0,06	   -0,17	    0,05	   -0,84	   -0,02	   -0,06	    0,17	   -0,05	   -1,93	    0,53	   -0,12	    0,24	    1,06	    1,93	   -0,53	    0,12	   -0,24	   -1,06	    0,99	    0,30	    0,08	   -0,27	    0,64	    2,90	   -0,22	    0,19	   -0,51	   -0,41	   -0,99	   -0,30	   -0,08	    0,27	   -0,64	    0,00	   -2,90	    0,22	   -0,19	    0,51	    0,41	    0,00
 P903	   -0,06	   -0,07	    0,17	   -1,82	   -5,42	    2,86	   -1,92	    0,74	    0,03	    0,06	   -0,17	    0,06	   -0,74	   -0,03	   -0,06	    0,17	   -0,06	    1,87	    0,53	   -0,12	    0,23	    1,06	   -1,87	   -0,53	    0,12	   -0,23	   -1,06	    2,61	    0,32	    0,07	   -0,26	    0,66	    0,77	   -0,20	    0,19	   -0,50	   -0,39	   -2,61	   -0,32	   -0,07	    0,26	   -0,66	   -0,00	   -0,77	    0,20	   -0,19	    0,50	    0,39	   -0,00
 P904	   -0,02	   -0,05	    0,05	   -1,84	   -5,48	    2,94	   -1,96	   -0,11	    0,02	    0,04	   -0,15	    0,06	    0,11	   -0,02	   -0,04	    0,15	   -0,06	    0,54	    0,53	   -0,12	    0,23	    1,07	   -0,54	   -0,53	    0,12	   -0,23	   -1,07	    0,01	    0,31	    0,04	   -0,22	    0,65	   -0,54	   -0,21	    0,16	   -0,46	   -0,41	   -0,01	   -0,31	   -0,04	    0,22	   -0,65	   -0,00	    0,54	    0,21	   -0,16	    0,46	    0,41	   -0,00
 P905	   -0,03	   -0,09	   -0,24	   -1,82	   -5,36	    2,92	   -1,96	    0,35	    0,01	    0,04	   -0,15	    0,05	   -0,35	   -0,01	   -0,04	    0,15	   -0,05	   -1,05	    0,53	   -0,12	    0,23	    1,07	    1,05	   -0,53	    0,12	   -0,23	   -1,07	    0,27	    0,29	    0,04	   -0,23	    0,63	    1,35	   -0,24	    0,16	   -0,47	   -0,43	   -0,27	   -0,29	   -0,04	    0,23	   -0,63	   -0,00	   -1,35	    0,24	   -0,16	    0,47	    0,43	   -0,00
 P906	   -0,05	   -0,09	   -2,83	   -1,83	   -5,42	    2,91	   -1,97	    4,41	    0,01	    0,08	   -0,19	    0,04	   -4,41	   -0,01	   -0,08	    0,19	   -0,04	   -3,12	    0,52	   -0,11	    0,22	    1,06	    3,11	   -0,52	    0,11	   -0,22	   -1,06	    8,40	    0,28	    0,13	   -0,32	    0,61	   11,93	   -0,24	    0,24	   -0,55	   -0,44	   -8,39	   -0,28	   -0,13	    0,32	   -0,61	   -0,00	  -11,93	    0,24	   -0,24	    0,55	    0,44	   -0,00
 P907	   -0,03	   -0,07	   -1,29	   -1,90	   -5,56	    2,94	   -2,02	    2,14	    0,04	    0,05	   -0,16	    0,07	   -2,14	   -0,04	   -0,05	    0,16	   -0,07	    0,87	    0,53	   -0,11	    0,22	    1,07	   -0,87	   -0,53	    0,11	   -0,22	   -1,07	    5,25	    0,34	    0,06	   -0,24	    0,69	    4,60	   -0,18	    0,18	   -0,48	   -0,37	   -5,24	   -0,34	   -0,06	    0,24	   -0,69	   -0,00	   -4,60	    0,18	   -0,18	    0,48	    0,37	   -0,00
 P908	   -0,04	   -0,09	   -0,06	   -1,72	   -4,75	    2,44	   -1,91	   -0,12	    0,02	    0,04	   -0,15	    0,05	    0,12	   -0,02	   -0,04	    0,15	   -0,05	    0,22	    0,52	   -0,11	    0,22	    1,06	   -0,22	   -0,52	    0,11	   -0,22	   -1,06	   -0,17	    0,30	    0,05	   -0,22	    0,63	   -0,40	   -0,22	    0,16	   -0,45	   -0,41	    0,17	   -0,30	   -0,05	    0,22	   -0,63	    0,00	    0,40	    0,22	   -0,16	    0,45	    0,41	    0,00
 P909	   -0,10	    0,40	   -0,47	   -4,81	   -1,52	    0,72	   -3,59	    0,47	    0,03	    0,10	   -0,21	    0,06	   -0,47	   -0,03	   -0,10	    0,21	   -0,06	    4,79	    0,30	   -0,03	    0,14	    0,80	   -4,79	   -0,30	    0,03	   -0,14	   -0,80	    3,41	    0,20	    0,20	   -0,40	    0,53	   -1,30	   -0,09	    0,24	   -0,56	   -0,26	   -3,41	   -0,20	   -0,20	    0,40	   -0,53	   -0,00	    1,30	    0,09	   -0,24	    0,56	    0,26	    0,00
 P910	    0,01	    0,04	   -0,33	   -6,99	    1,41	   -0,85	   -4,95	    0,05	    0,03	    0,11	   -0,23	    0,06	   -0,05	   -0,03	   -0,11	    0,23	   -0,06	    0,79	    0,20	   -0,05	    0,15	    0,69	   -0,79	   -0,20	    0,05	   -0,15	   -0,69	    0,49	    0,16	    0,23	   -0,43	    0,47	   -0,28	   -0,03	    0,29	   -0,61	   -0,20	   -0,49	   -0,16	   -0,23	    0,43	   -0,47	   -0,00	    0,28	    0,03	   -0,29	    0,61	    0,20	   -0,00
 P911	    0,02	    0,18	    0,22	   -4,24	    0,82	   -0,54	   -3,46	    0,03	    0,03	    0,11	   -0,23	    0,06	   -0,03	   -0,03	   -0,11	    0,23	   -0,06	   -0,94	    0,20	   -0,05	    0,15	    0,69	    0,94	   -0,20	    0,05	   -0,15	   -0,69	   -0,40	    0,16	    0,23	   -0,43	    0,47	    0,53	   -0,03	    0,29	   -0,61	   -0,20	    0,40	   -0,16	   -0,23	    0,43	   -0,47	   -0,00	   -0,53	    0,03	   -0,29	    0,61	    0,20	   -0,00
 P912	   -1,33	   -0,23	    1,33	   -1,18	    0,18	   -0,30	   -2,18	   -0,37	    0,02	    0,09	   -0,20	    0,06	    0,37	   -0,02	   -0,09	    0,20	   -0,06	   -3,25	    0,22	   -0,08	    0,19	    0,71	    3,25	   -0,22	    0,08	   -0,19	   -0,71	   -2,40	    0,16	    0,17	   -0,36	    0,47	    0,73	   -0,06	    0,26	   -0,57	   -0,22	    2,40	   -0,16	   -0,17	    0,36	   -0,47	   -0,00	   -0,73	    0,06	   -0,26	    0,57	    0,22	   -0,00
 P913	   -1,13	    0,04	   -0,60	   -2,40	   -6,47	    3,49	   -2,77	    0,00	    0,02	    0,05	   -0,15	    0,05	   -0,00	   -0,02	   -0,05	    0,15	   -0,05	   -0,00	    0,52	   -0,11	    0,22	    1,05	    0,00	   -0,52	    0,11	   -0,22	   -1,05	    0,01	    0,29	    0,05	   -0,22	    0,62	    0,01	   -0,22	    0,16	   -0,47	   -0,41	   -0,01	   -0,29	   -0,05	    0,22	   -0,62	   -0,00	   -0,01	    0,22	   -0,16	    0,47	    0,41	    0,00
 P914	   -0,02	   -0,11	   -0,90	  -13,85	   -3,84	    2,19	   -9,38	    0,59	    0,03	    0,11	   -0,22	    0,06	   -0,59	   -0,03	   -0,11	    0,22	   -0,06	    3,38	    0,45	   -0,10	    0,20	    0,98	   -3,38	   -0,45	    0,10	   -0,20	   -0,98	    2,94	    0,28	    0,19	   -0,39	    0,61	   -0,26	   -0,16	    0,30	   -0,62	   -0,34	   -2,94	   -0,28	   -0,19	    0,39	   -0,61	    0,00	    0,26	    0,16	   -0,30	    0,62	    0,34	    0,00
 P915	   -0,00	   -0,06	   -0,40	  -22,70	    4,41	   -2,72	  -17,19	   -0,06	    0,03	    0,11	   -0,22	    0,07	    0,06	   -0,03	   -0,11	    0,22	   -0,07	    0,58	    0,12	   -0,02	    0,11	    0,60	   -0,58	   -0,12	    0,02	   -0,11	   -0,60	    0,16	    0,12	    0,23	   -0,43	    0,43	   -0,42	    0,01	    0,27	   -0,58	   -0,14	   -0,16	   -0,12	   -0,23	    0,43	   -0,43	   -0,00	    0,42	   -0,01	   -0,27	    0,58	    0,14	    0,00
 P916	   -0,00	   -0,05	   -0,05	  -23,40	    4,57	   -3,02	  -18,49	    0,08	    0,03	    0,11	   -0,22	    0,06	   -0,08	   -0,03	   -0,11	    0,22	   -0,06	   -0,02	    0,11	   -0,01	    0,10	    0,58	    0,02	   -0,11	    0,01	   -0,10	   -0,58	    0,17	    0,12	    0,23	   -0,44	    0,42	    0,21	    0,01	    0,26	   -0,58	   -0,14	   -0,17	   -0,12	   -0,23	    0,44	   -0,42	   -0,00	   -0,21	   -0,01	   -0,26	    0,58	    0,14	   -0,00
 P917	   -0,01	   -0,06	   -0,31	  -21,71	    4,22	   -2,32	  -15,16	    0,28	    0,03	    0,11	   -0,22	    0,06	   -0,28	   -0,03	   -0,11	    0,22	   -0,06	    0,76	    0,11	   -0,01	    0,10	    0,59	   -0,76	   -0,11	    0,01	   -0,10	   -0,59	    0,99	    0,11	    0,23	   -0,44	    0,41	    0,32	    0,01	    0,26	   -0,58	   -0,15	   -0,99	   -0,11	   -0,23	    0,44	   -0,41	   -0,00	   -0,32	   -0,01	   -0,26	    0,58	    0,15	   -0,00
 P918	    0,01	   -0,07	    0,05	  -21,30	    4,13	   -2,13	  -14,25	   -0,13	    0,03	    0,11	   -0,22	    0,06	    0,13	   -0,03	   -0,11	    0,22	   -0,06	    0,78	    0,11	   -0,01	    0,10	    0,59	   -0,78	   -0,11	    0,01	   -0,10	   -0,59	    0,09	    0,11	    0,23	   -0,44	    0,41	   -0,69	    0,01	    0,26	   -0,58	   -0,15	   -0,09	   -0,11	   -0,23	    0,44	   -0,41	   -0,00	    0,69	   -0,01	   -0,26	    0,58	    0,15	   -0,00
 P919	    0,00	   -0,04	    0,16	  -22,54	    4,41	   -2,68	  -16,68	   -0,13	    0,03	    0,11	   -0,22	    0,06	    0,13	   -0,03	   -0,11	    0,22	   -0,06	    0,10	    0,10	   -0,01	    0,10	    0,58	   -0,10	   -0,10	    0,01	   -0,10	   -0,58	   -0,23	    0,11	    0,24	   -0,45	    0,40	   -0,36	    0,01	    0,26	   -0,58	   -0,14	    0,23	   -0,11	   -0,24	    0,45	   -0,40	   -0,00	    0,35	   -0,01	   -0,26	    0,58	    0,14	   -0,00
 P920	   -0,00	   -0,05	   -0,31	  -22,07	    4,32	   -2,50	  -15,81	    0,08	    0,03	    0,11	   -0,22	    0,06	   -0,08	   -0,03	   -0,11	    0,22	   -0,06	    0,39	    0,11	   -0,01	    0,10	    0,58	   -0,39	   -0,11	    0,01	   -0,10	   -0,58	    0,35	    0,11	    0,24	   -0,45	    0,40	   -0,00	    0,01	    0,26	   -0,58	   -0,14	   -0,35	   -0,11	   -0,24	    0,45	   -0,40	   -0,00	    0,00	   -0,01	   -0,26	    0,58	    0,14	   -0,00
 P921	   -0,03	   -0,09	   -0,88	  -21,40	    4,17	   -2,16	  -14,20	    0,17	    0,03	    0,12	   -0,23	    0,06	   -0,17	   -0,03	   -0,12	    0,23	   -0,06	    1,11	    0,14	   -0,01	    0,10	    0,61	   -1,11	   -0,14	    0,01	   -0,10	   -0,61	    0,90	    0,13	    0,25	   -0,47	    0,42	   -0,12	    0,00	    0,29	   -0,61	   -0,15	   -0,90	   -0,13	   -0,25	    0,47	   -0,42	   -0,00	    0,12	   -0,00	   -0,29	    0,61	    0,15	    0,00
 P922	    0,00	   -0,05	   -0,40	  -22,37	    4,39	   -2,64	  -16,35	    0,11	    0,03	    0,11	   -0,23	    0,06	   -0,11	   -0,03	   -0,11	    0,23	   -0,06	    0,48	    0,11	   -0,01	    0,10	    0,58	   -0,48	   -0,11	    0,01	   -0,10	   -0,58	    0,47	    0,11	    0,24	   -0,45	    0,40	    0,03	    0,01	    0,27	   -0,59	   -0,14	   -0,47	   -0,11	   -0,24	    0,45	   -0,40	   -0,00	   -0,03	   -0,01	   -0,27	    0,59	    0,14	    0,00
 P923	    0,01	   -0,05	   -0,24	  -22,76	    4,43	   -2,76	  -17,13	    0,11	    0,03	    0,13	   -0,25	    0,06	   -0,11	   -0,03	   -0,13	    0,25	   -0,06	    0,03	    0,11	   -0,01	    0,09	    0,58	   -0,03	   -0,11	    0,01	   -0,09	   -0,58	    0,26	    0,12	    0,28	   -0,50	    0,41	    0,25	    0,02	    0,31	   -0,64	   -0,13	   -0,26	   -0,12	   -0,28	    0,50	   -0,41	   -0,00	   -0,25	   -0,02	   -0,31	    0,64	    0,13	   -0,00
 P924	   -0,00	   -0,04	   -0,82	  -21,50	    4,22	   -2,29	  -14,65	   -0,01	    0,03	    0,11	   -0,23	    0,06	    0,01	   -0,03	   -0,11	    0,23	   -0,06	    0,73	    0,12	   -0,01	    0,10	    0,60	   -0,73	   -0,12	    0,01	   -0,10	   -0,60	    0,31	    0,12	    0,24	   -0,45	    0,40	   -0,38	    0,01	    0,27	   -0,58	   -0,15	   -0,31	   -0,12	   -0,24	    0,45	   -0,40	   -0,00	    0,38	   -0,01	   -0,27	    0,58	    0,15	   -0,00
 P925	    0,01	   -0,05	   -0,32	  -21,70	    4,26	   -2,36	  -14,97	   -0,23	    0,03	    0,11	   -0,23	    0,05	    0,23	   -0,03	   -0,11	    0,23	   -0,05	    0,59	    0,12	   -0,01	    0,10	    0,60	   -0,59	   -0,12	    0,01	   -0,10	   -0,60	   -0,23	    0,11	    0,24	   -0,45	    0,40	   -0,83	    0,01	    0,27	   -0,59	   -0,15	    0,23	   -0,11	   -0,24	    0,45	   -0,40	   -0,00	    0,83	   -0,01	   -0,27	    0,59	    0,15	    0,00
 P926	    0,01	   -0,05	   -0,01	  -22,34	    4,40	   -2,63	  -16,21	   -0,13	    0,03	    0,11	   -0,23	    0,05	    0,13	   -0,03	   -0,11	    0,23	   -0,05	    0,18	    0,11	   -0,01	    0,09	    0,59	   -0,18	   -0,11	    0,01	   -0,09	   -0,59	   -0,20	    0,11	    0,24	   -0,46	    0,39	   -0,39	    0,01	    0,27	   -0,59	   -0,15	    0,20	   -0,11	   -0,24	    0,46	   -0,39	   -0,00	    0,39	   -0,01	   -0,27	    0,59	    0,15	   -0,00
 P927	    0,00	   -0,05	   -0,79	  -13,01	    2,37	   -1,23	   -9,78	    0,09	    0,03	    0,11	   -0,23	    0,05	   -0,09	   -0,03	   -0,11	    0,23	   -0,05	    0,49	    0,12	   -0,01	    0,09	    0,60	   -0,49	   -0,12	    0,01	   -0,09	   -0,60	    0,43	    0,11	    0,24	   -0,46	    0,39	    0,00	    0,00	    0,27	   -0,59	   -0,16	   -0,43	   -0,11	   -0,24	    0,46	   -0,39	    0,00	   -0,00	   -0,00	   -0,27	    0,59	    0,16	   -0,00
 P928	    0,01	   -0,05	   -1,32	  -16,63	    3,16	   -1,74	  -12,11	    0,18	    0,03	    0,11	   -0,23	    0,05	   -0,18	   -0,03	   -0,11	    0,23	   -0,05	    0,80	    0,13	   -0,01	    0,10	    0,61	   -0,80	   -0,13	    0,01	   -0,10	   -0,61	    0,78	    0,12	    0,24	   -0,46	    0,39	    0,08	    0,00	    0,27	   -0,59	   -0,17	   -0,78	   -0,12	   -0,24	    0,46	   -0,39	   -0,00	   -0,08	   -0,00	   -0,27	    0,59	    0,17	   -0,00
 P929	    0,01	   -0,05	   -0,66	  -29,93	    6,06	   -4,07	  -22,82	    0,15	    0,02	    0,11	   -0,23	    0,05	   -0,15	   -0,02	   -0,11	    0,23	   -0,05	    0,31	    0,12	   -0,01	    0,09	    0,60	   -0,31	   -0,12	    0,01	   -0,09	   -0,60	    0,47	    0,11	    0,24	   -0,46	    0,38	    0,21	    0,00	    0,27	   -0,59	   -0,16	   -0,47	   -0,11	   -0,24	    0,46	   -0,38	   -0,00	   -0,21	   -0,00	   -0,27	    0,59	    0,16	   -0,00
 P930	    0,01	   -0,05	   -0,19	  -29,77	    5,97	   -3,94	  -22,46	   -0,03	    0,03	    0,13	   -0,25	    0,05	    0,03	   -0,03	   -0,13	    0,25	   -0,05	    0,15	    0,13	   -0,00	    0,09	    0,61	   -0,15	   -0,13	    0,00	   -0,09	   -0,61	    0,01	    0,12	    0,28	   -0,51	    0,39	   -0,14	    0,01	    0,31	   -0,63	   -0,16	   -0,01	   -0,12	   -0,28	    0,51	   -0,39	    0,00	    0,14	   -0,01	   -0,31	    0,63	    0,16	   -0,00
 P931	    0,00	   -0,05	   -0,93	  -27,78	    5,59	   -3,14	  -18,54	   -0,11	    0,02	    0,11	   -0,23	    0,04	    0,11	   -0,02	   -0,11	    0,23	   -0,04	    0,77	    0,14	   -0,01	    0,10	    0,63	   -0,77	   -0,14	    0,01	   -0,10	   -0,63	    0,10	    0,11	    0,24	   -0,46	    0,38	   -0,62	   -0,01	    0,27	   -0,59	   -0,18	   -0,10	   -0,11	   -0,24	    0,46	   -0,38	   -0,00	    0,62	    0,01	   -0,27	    0,59	    0,18	   -0,00
