 Elem	Todas permanentes e acidentais dos pavimentos	-	Empuxo	-	-	-	-	Vento (1) 90°	-	-	-	-	Vento (2) 270°	-	-	-	-	Vento (3) 0°	-	-	-	-	Vento (4) 180°	-	-	-	-	
 	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My
 P832	   -0,00	    0,07	   -0,12	    0,69	   34,66	  -24,07	    1,66	   -0,26	    0,02	    0,13	   -0,62	    0,03	    0,26	   -0,02	   -0,13	    0,62	   -0,03	   -0,06	    0,18	    0,00	    0,00	    0,36	    0,06	   -0,18	   -0,00	   -0,00	   -0,36
 P833	   -0,01	    0,07	   -0,05	    0,62	   35,16	  -25,51	    1,59	   -0,27	    0,02	    0,13	   -0,62	    0,03	    0,27	   -0,02	   -0,13	    0,62	   -0,03	    0,01	    0,18	    0,00	   -0,00	    0,36	   -0,01	   -0,18	   -0,00	    0,00	   -0,36
 P834	   -0,01	    0,04	   -0,17	    0,63	   32,72	  -18,33	    1,70	   -0,48	    0,02	    0,14	   -0,66	    0,03	    0,48	   -0,02	   -0,14	    0,66	   -0,03	    0,02	    0,18	    0,00	   -0,00	    0,36	   -0,02	   -0,18	   -0,00	    0,00	   -0,36
 P835	   -0,01	    0,08	   -0,09	    0,55	   34,40	  -23,29	    1,57	   -0,35	    0,02	    0,13	   -0,64	    0,03	    0,35	   -0,02	   -0,13	    0,64	   -0,03	    0,00	    0,18	    0,00	   -0,00	    0,36	   -0,00	   -0,18	   -0,00	    0,00	   -0,36
 P836	   -0,02	    0,06	   -0,06	    0,50	   35,35	  -25,95	    1,48	   -0,25	    0,02	    0,13	   -0,64	    0,03	    0,25	   -0,02	   -0,13	    0,64	   -0,03	   -0,02	    0,18	    0,00	   -0,01	    0,37	    0,02	   -0,18	   -0,00	    0,01	   -0,37
 P837	   -0,02	    0,07	   -0,18	    0,53	   32,92	  -18,80	    1,60	   -0,42	    0,02	    0,15	   -0,68	    0,03	    0,42	   -0,02	   -0,15	    0,68	   -0,03	   -0,04	    0,18	    0,00	   -0,01	    0,36	    0,04	   -0,18	   -0,00	    0,01	   -0,36
 P838	   -0,02	   -0,05	   -0,09	    0,53	   32,21	  -21,90	    1,51	   -0,30	    0,02	    0,14	   -0,66	    0,03	    0,30	   -0,02	   -0,14	    0,66	   -0,03	    0,00	    0,18	    0,00	   -0,01	    0,36	   -0,00	   -0,18	   -0,00	    0,01	   -0,36
 P839	   -0,03	    0,60	   -0,09	    0,71	   23,30	  -18,33	    1,56	   -0,29	    0,02	    0,12	   -0,64	    0,03	    0,29	   -0,02	   -0,12	    0,64	   -0,03	    0,12	    0,18	    0,00	   -0,01	    0,37	   -0,12	   -0,18	   -0,00	    0,01	   -0,37
 P840	    0,44	    0,08	    0,84	    1,00	    0,95	   -1,82	    1,84	   -1,32	    0,02	    0,38	   -0,94	    0,03	    1,32	   -0,02	   -0,38	    0,94	   -0,03	    0,97	    0,17	    0,01	   -0,01	    0,35	   -0,97	   -0,17	   -0,01	    0,01	   -0,35
 P901	   -0,74	   -0,04	    0,08	    1,27	    0,56	   -0,94	    1,68	    0,81	   -0,03	    0,33	   -0,79	   -0,05	   -0,81	    0,03	   -0,33	    0,79	    0,05	   -0,13	    0,21	    0,00	    0,01	    0,33	    0,13	   -0,21	   -0,00	   -0,01	   -0,33
 P902	   -0,61	   -0,05	   -1,28	    1,31	    0,34	   -0,96	    1,67	    1,00	   -0,03	    0,29	   -0,81	   -0,08	   -1,00	    0,03	   -0,29	    0,81	    0,08	   -0,52	    0,22	   -0,01	    0,01	    0,33	    0,52	   -0,22	    0,01	   -0,01	   -0,33
 P903	   -1,02	   -0,05	    2,63	    1,34	    0,39	   -1,02	    1,69	    1,10	   -0,04	    0,32	   -0,87	   -0,06	   -1,10	    0,04	   -0,32	    0,87	    0,06	    0,60	    0,22	   -0,00	    0,02	    0,33	   -0,60	   -0,22	    0,00	   -0,02	   -0,33
 P904	   -1,86	   -0,06	   -0,65	    1,36	    0,37	   -0,99	    1,69	    0,03	   -0,04	    0,31	   -0,83	   -0,07	   -0,03	    0,04	   -0,31	    0,83	    0,07	   -0,21	    0,23	   -0,01	    0,01	    0,34	    0,21	   -0,23	    0,01	   -0,01	   -0,34
 P905	   -1,35	   -0,05	   -0,33	    1,40	    0,29	   -0,97	    1,66	    1,57	   -0,05	    0,21	   -0,79	   -0,07	   -1,57	    0,05	   -0,21	    0,79	    0,07	   -0,48	    0,24	   -0,01	    0,01	    0,33	    0,48	   -0,24	    0,01	   -0,01	   -0,33
 P906	   -1,81	   -0,07	    2,07	    1,42	    0,35	   -0,97	    1,71	    0,32	   -0,05	    0,28	   -0,82	   -0,06	   -0,32	    0,05	   -0,28	    0,82	    0,06	    0,52	    0,24	   -0,00	    0,01	    0,34	   -0,52	   -0,24	    0,00	   -0,01	   -0,34
 P907	   -1,67	   -0,06	   -0,95	    1,45	    0,34	   -0,98	    1,70	    0,50	   -0,05	    0,29	   -0,83	   -0,08	   -0,50	    0,05	   -0,29	    0,83	    0,08	   -0,42	    0,24	   -0,00	    0,01	    0,34	    0,42	   -0,24	    0,00	   -0,01	   -0,34
 P908	   -0,45	   -0,05	    1,12	    1,50	    0,35	   -0,96	    1,71	    0,33	   -0,06	    0,30	   -0,85	   -0,07	   -0,33	    0,06	   -0,30	    0,85	    0,07	    0,28	    0,25	   -0,00	    0,00	    0,34	   -0,28	   -0,25	    0,00	   -0,00	   -0,34
 P909	   -0,50	   -0,05	   -1,14	    1,52	    0,30	   -0,94	    1,69	    0,96	   -0,06	    0,26	   -0,84	   -0,08	   -0,96	    0,06	   -0,26	    0,84	    0,08	   -0,55	    0,25	   -0,00	    0,00	    0,33	    0,55	   -0,25	    0,00	   -0,00	   -0,33
 P910	   -1,49	   -0,06	    0,41	    1,56	    0,32	   -0,90	    1,72	    0,70	   -0,06	    0,29	   -0,84	   -0,07	   -0,70	    0,06	   -0,29	    0,84	    0,07	   -0,02	    0,26	   -0,00	   -0,00	    0,34	    0,02	   -0,26	    0,00	    0,00	   -0,34
 P911	   -0,87	   -0,03	    1,82	    1,59	    0,32	   -0,87	    1,71	    0,51	   -0,06	    0,28	   -0,84	   -0,06	   -0,51	    0,06	   -0,28	    0,84	    0,06	    0,45	    0,26	    0,00	   -0,01	    0,33	   -0,45	   -0,26	   -0,00	    0,01	   -0,33
 P912	   -1,15	   -0,04	   -1,90	    1,60	    0,30	   -0,86	    1,71	    0,31	   -0,06	    0,30	   -0,85	   -0,08	   -0,31	    0,06	   -0,30	    0,85	    0,08	   -0,59	    0,26	    0,00	   -0,01	    0,34	    0,59	   -0,26	   -0,00	    0,01	   -0,34
